,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@gregg_re Lmaoooo,3195,102,2023-04-18 15:26:02+00:00
1,elonmusk,@GRDecter 🥜,27760,1256,2023-04-18 15:22:22+00:00
2,elonmusk,@PirateWires You could charge more than $2!,4118,289,2023-04-18 15:01:42+00:00
3,elonmusk,@engineers_feed Crazy that this is still so different in 2023,53650,2330,2023-04-18 15:00:52+00:00
4,elonmusk,@EndWokeness Where is the manifesto? The Unabomber got his published …,69958,10151,2023-04-18 15:00:02+00:00
5,elonmusk,"@JonErlichman In the fairly near future, internal combustion engine vehicles will be viewed in the same way that we view external combustion engine vehicles (steam engines)!",29566,2803,2023-04-18 14:02:52+00:00
6,elonmusk,@SciGuySpace Orbital rockets are a hard problem,11466,796,2023-04-18 13:57:20+00:00
7,elonmusk,@Teslaconomics Intense work schedule,51814,2295,2023-04-18 06:55:35+00:00
8,elonmusk,@0xgaut 🔥🔥,30728,1026,2023-04-18 06:53:10+00:00
9,elonmusk,@dogeofficialceo 🤣,9958,485,2023-04-18 06:29:19+00:00
10,elonmusk,@Not_the_Bee Sigh,37307,1715,2023-04-18 05:38:13+00:00
11,elonmusk,@IncompetentHum3 !,38590,3851,2023-04-18 05:35:54+00:00
12,elonmusk,@farzyness 🔥🔥,18146,645,2023-04-18 04:47:37+00:00
13,elonmusk,@BillyM2k @Liv_Boeree 🤣,3958,201,2023-04-18 04:44:41+00:00
14,elonmusk,@bennyjohnson Wait for it …,58021,3656,2023-04-18 04:01:02+00:00
15,elonmusk,@KonstantinKisin True,26874,1606,2023-04-18 03:52:57+00:00
16,elonmusk,@MrAndyNgo @REI One store after another shutting down,63740,5451,2023-04-18 03:45:50+00:00
17,elonmusk,@KanekoaTheGreat @joshrogin @glennbeck Large ships are fundamentally vulnerable to ballistic (hypersonic) missiles,16916,1599,2023-04-18 03:43:25+00:00
18,elonmusk,@KanekoaTheGreat The Golden Rule,4961,451,2023-04-18 03:37:17+00:00
19,elonmusk,@KanekoaTheGreat 🧐,26631,1866,2023-04-18 03:35:48+00:00
20,elonmusk,@TRHLofficial What’s he talking about and why is it sponsored by Erik’s son?,124104,9067,2023-04-18 03:32:17+00:00
21,elonmusk,@greg_price11 Umm … no,52407,2889,2023-04-18 03:28:54+00:00
22,elonmusk,@alifarhat79 😳,3592,107,2023-04-18 03:10:54+00:00
23,elonmusk,@SpaceX Perhaps inevitable,34797,1543,2023-04-18 03:10:16+00:00
24,elonmusk,Fun times 🤩,173578,11570,2023-04-18 02:44:41+00:00
25,elonmusk,@teslaownersSV This will be great. Coming soon. Maximum protection for users.,47457,3426,2023-04-18 02:43:04+00:00
26,elonmusk,"@Anc_Aesthetics Sorry about this. Yes, subscribe now via web or wait a few days for Apple to approve. 

Note: creator gets ~92% of subscription for web subscribers (Stripe &amp; CC fees are ~8%), but only 70% on iOS/Android. 

Twitter keeps nothing. All funds we receive go to the content creator.",13328,1338,2023-04-18 02:40:55+00:00
27,elonmusk,@cb_doge Yup,9988,491,2023-04-18 02:35:58+00:00
28,elonmusk,"@stevenmarkryan Takes a few days for Apple to approve subscriptions, iOS lags web subscriptions by a few days",5970,507,2023-04-18 02:07:31+00:00
29,elonmusk,@TimSweeneyEpic @GMatrixGames 💯,1609,73,2023-04-18 02:02:17+00:00
30,elonmusk,@TheRabbitHole84 Population collapse is a massive threat to civilization,90200,9828,2023-04-18 01:52:05+00:00
31,elonmusk,"Canadian Broadcasting Corp said they’re “less than 70% government-funded”, so we corrected the label https://t.co/lU1EWf76Zu",543356,65822,2023-04-18 01:26:28+00:00
32,elonmusk,@alx Fundamentally important,110220,7682,2023-04-18 00:58:23+00:00
33,elonmusk,"@itsALLrisky @TitterDaily @CBC Good point, generosity is always the right move. 69% it is!",16161,1293,2023-04-18 00:46:26+00:00
34,elonmusk,@TitterDaily @CBC Their concern has been addressed https://t.co/pSm6KotlZL,26687,3571,2023-04-18 00:35:03+00:00
35,elonmusk,"Mini Starship with flame!
https://t.co/VGKHyaikTd",75050,7218,2023-04-17 23:59:15+00:00
36,elonmusk,@TitterDaily @CBC Just trying to be accurate. Would they be ok if we said 70% govt funded?,13095,1293,2023-04-17 23:39:58+00:00
37,elonmusk,@Investingcom Was alerted this weekend. Looking into it.,39004,1990,2023-04-17 15:32:09+00:00
38,elonmusk,@__SeriousGemini Fate,44789,1911,2023-04-17 15:19:03+00:00
39,elonmusk,"Learned a lot today, now offloading propellant, retrying in a few days …",100427,6236,2023-04-17 13:29:01+00:00
40,elonmusk,"A pressurant valve appears to be frozen, so unless it starts operating soon, no launch today",91391,7839,2023-04-17 13:11:17+00:00
41,elonmusk,"Cryogenic propellant load of Starship is underway, liftoff in T minus 1 hour",183498,15233,2023-04-17 12:18:42+00:00
42,elonmusk,Starship launch attempt in ~7 hours,245838,17866,2023-04-17 05:46:06+00:00
43,elonmusk,@KobeissiLetter Treasury is (obviously) correct,2314,151,2023-04-17 05:44:50+00:00
44,elonmusk,@TrungTPhan @BillyM2k Same,1719,91,2023-04-17 04:31:29+00:00
45,elonmusk,@johnkrausphotos An implausible rocket on the beach,30199,1493,2023-04-17 01:38:23+00:00
46,elonmusk,@GailAlfarATX @SpaceX Yes,10266,567,2023-04-17 01:30:34+00:00
47,elonmusk,@DurantQuotesBot Low birthrate is under-appreciated as causal in the fall of civilizations. Rome was having birth rate issues even during the reign of Caesar.,47101,5744,2023-04-17 01:29:54+00:00
48,elonmusk,@unusual_whales Thanks for the subtitles 🤣🤣,85730,4720,2023-04-17 01:25:09+00:00
49,elonmusk,@DurantQuotesBot So it goes …,30270,1845,2023-04-17 00:42:16+00:00
50,elonmusk,@WallStreetSilv Exactly,137672,10159,2023-04-17 00:21:15+00:00
51,elonmusk,@waitbutwhy @SpaceX We will try,16912,988,2023-04-16 22:58:28+00:00
52,elonmusk,@GailAlfarATX Yeah,34620,1871,2023-04-16 22:51:20+00:00
53,elonmusk,@robbystarbuck @USNavy !,26416,2349,2023-04-16 16:32:01+00:00
54,elonmusk,"@DrLoupis In any event, good manners require using the person’s name, not their pronoun, when referring to them",16629,1936,2023-04-16 16:30:32+00:00
55,elonmusk,@SawyerMerritt I subscribed,12551,494,2023-04-16 16:18:14+00:00
56,elonmusk,"@alifarhat79 You’re welcome, now if only you were the actual head of the Fed!",28551,1228,2023-04-16 15:53:46+00:00
57,elonmusk,@alifarhat79 🤣🤣,3188,134,2023-04-16 15:52:58+00:00
58,elonmusk,Launch attempt tomorrow https://t.co/czFsQ53Xsa,778591,53960,2023-04-16 15:52:21+00:00
59,elonmusk,@TRHLofficial Absolutely,90841,6464,2023-04-16 15:47:32+00:00
60,elonmusk,@alifarhat79 I subscribed,5874,194,2023-04-16 15:47:02+00:00
61,elonmusk,@stillgray It’s felt like that for a long time,48731,3442,2023-04-16 15:28:10+00:00
62,elonmusk,"@DrLoupis Pronouns are virtue-signaling, so inevitably, as with all virtue-signaling, they will be used as a shield by bad humans",34895,6638,2023-04-16 15:08:17+00:00
63,elonmusk,@dailystoic I mean … one does control what happens a little,23588,1264,2023-04-16 14:40:01+00:00
64,elonmusk,@johnkrausphotos I subscribed!,17372,621,2023-04-16 14:37:11+00:00
65,elonmusk,@Apoctoz Send a BBC boss with 3 mini bosses,6554,367,2023-04-16 14:21:59+00:00
66,elonmusk,"@Apoctoz Next time, they should send a better NPC!",144768,7710,2023-04-16 14:20:17+00:00
67,elonmusk,@ShitpostGate Makes sense,49598,1475,2023-04-16 14:14:38+00:00
68,elonmusk,@cb_doge Yes,7138,420,2023-04-16 14:10:43+00:00
69,elonmusk,"@mckaywrigley I saw it happening from well before GPT-1, which is why I tried to warn the public for years.

The only one on one meeting I ever had with Obama as President I used not to promote Tesla or SpaceX, but to encourage  AI regulation.",78169,9130,2023-04-16 14:04:40+00:00
70,elonmusk,"@thysroes @AlecStapp Ja, “van”, mijn verontschuldigingen 🤭",962,75,2023-04-16 12:48:52+00:00
71,elonmusk,@TrungTPhan I hope this is true,24283,1146,2023-04-16 12:44:50+00:00
72,elonmusk,"@AlecStapp Germ theory took a shockingly long time to be accepted! The entire medical establishment was against it for centuries.

Von Leeuwenhoek's 1677 ‘letter on the protozoa’ was verified by The Royal Society.

https://t.co/ESLAcyFiRR",33364,4781,2023-04-16 12:11:55+00:00
73,elonmusk,@Simeon_Cps Fate hates hypocrisy,4811,507,2023-04-16 12:00:29+00:00
74,elonmusk,@paulg @cremieuxrecueil My identical twins scored within 1 point of each other on tests taken on different days,23677,1396,2023-04-16 11:57:09+00:00
75,elonmusk,@ShitpostGate 🤣,22917,801,2023-04-15 21:43:39+00:00
76,elonmusk,@KnowledgeArchiv Yes,2244,95,2023-04-15 21:38:44+00:00
77,elonmusk,@shellenberger True. Wish it wasn’t.,11918,1008,2023-04-15 21:33:00+00:00
78,elonmusk,"@KnowledgeArchiv Tolkien barely survived. Bolitho too. 
Both born in South Africa, 
almost to die in trenches 
for nothing.",41424,3040,2023-04-15 21:32:06+00:00
79,elonmusk,Yay! Nice work Dragon Team! https://t.co/2ZtNuhA8T0,71216,5348,2023-04-15 21:20:53+00:00
80,elonmusk,@ChoooCole @TRHLofficial Well said,6320,344,2023-04-15 21:19:31+00:00
81,elonmusk,Also the plot of Deus Ex https://t.co/MhL5zLJQfn,446664,50761,2023-04-15 21:05:26+00:00
82,elonmusk,@PeterDiamandis Probably people would,6448,385,2023-04-15 20:59:53+00:00
83,elonmusk,💯 https://t.co/aXFtxJRlc5,115602,9721,2023-04-15 20:42:55+00:00
84,elonmusk,I will do a Starship Spaces at 6pm CT tomorrow for subscribers only,86247,6840,2023-04-15 20:42:04+00:00
85,elonmusk,"Creators in Japan, Canada, Australia and New Zealand can now enable subscriptions on this platform. 

Our goal is to maximize the prosperity of creators!",126707,11601,2023-04-15 20:40:01+00:00
86,elonmusk,@GavinSBaker @FutureJurvetson @MarcRandolph Fermi’s Paradox troubles me greatly,968,86,2023-04-15 20:35:48+00:00
87,elonmusk,"@tsrandall Tom, we’re not “starting a price war”, we’re just lowering prices to enable affordability at scale",113990,6789,2023-04-15 20:33:35+00:00
88,elonmusk,@levelsio Those were sick when they came out,19163,679,2023-04-15 20:32:39+00:00
89,elonmusk,"@krishnanrohit I knew it was futile, but “let the record show …”",1046,65,2023-04-15 20:31:21+00:00
90,elonmusk,@krishnanrohit 🤣🤣,6067,271,2023-04-15 20:30:56+00:00
91,elonmusk,@alx @gatewaypundit 🧐,39423,3263,2023-04-15 20:18:00+00:00
92,elonmusk,@hnshah Tell me about it … sigh,5911,370,2023-04-15 20:16:12+00:00
93,elonmusk,@BillyM2k Nice!,18055,538,2023-04-15 20:14:31+00:00
94,elonmusk,"@GavinSBaker @FutureJurvetson @MarcRandolph At scale, you hit limit of available power, so it’s just useful compute per Joule.

The “useful” qualifier is important.",911,76,2023-04-15 20:08:36+00:00
95,elonmusk,@FutureJurvetson @MarcRandolph @GavinSBaker Useful compute per unit of energy is what will matter most,860,66,2023-04-15 19:42:45+00:00
96,elonmusk,And people who steal memes! https://t.co/RNjmq4Aifo,547980,36580,2023-04-15 18:24:46+00:00
97,elonmusk,@TeslaHype The timing of this couldn’t be worse,66733,5488,2023-04-15 18:22:32+00:00
98,elonmusk,@sama @WSJ https://t.co/kg4Yd4qdkn https://t.co/XA6jGduDsx,5438,379,2023-04-15 18:11:53+00:00
99,elonmusk,@TheRabbitHole84 The so-called chief “fact-checker” at Washington Post has been dinged by @CommunityNotes several times for making false statements 🤣🤣,32241,3627,2023-04-15 18:01:34+00:00
100,elonmusk,"Your direct experience, people you talk to in the subject area &amp; independent research will get you much closer to the truth",126823,13196,2023-04-15 17:59:40+00:00
101,elonmusk,The BBC interview last week was exceptional in illustrating why you cannot rely on the media for truth,432161,58641,2023-04-15 17:55:08+00:00
102,elonmusk,@ID_AA_Carmack I still have launch PTSD from early Falcon days. My limbic system twists my guts into a knot as we get closer to launch.,50790,2870,2023-04-15 17:53:46+00:00
103,elonmusk,It’s worth considering deleting your blocks. What’s the worst that can happen? Words &amp; emojis …,39894,3996,2023-04-15 17:01:28+00:00
104,elonmusk,@zerohedge Wow,8553,541,2023-04-15 16:53:07+00:00
105,elonmusk,#SoBrave,31758,1556,2023-04-15 16:49:38+00:00
106,elonmusk,@dogeofficialceo 🔥,7160,395,2023-04-15 16:48:57+00:00
107,elonmusk,@dogeofficialceo Haha 💯,16491,685,2023-04-15 16:42:40+00:00
108,elonmusk,@maidensheildio @engineers_feed This platform is great for #3,830,56,2023-04-15 16:40:58+00:00
109,elonmusk,@ShitpostGate 🔥🔥,14835,420,2023-04-15 16:29:16+00:00
110,elonmusk,@EvaFoxU Haha,24952,790,2023-04-15 16:28:32+00:00
111,elonmusk,That’s why I deleted my block list,41081,2110,2023-04-15 16:14:02+00:00
112,elonmusk,Negative feedback received on this platform is great for reducing ego-based errors,186207,13637,2023-04-15 16:12:29+00:00
113,elonmusk,@SmokeAwayyy Gets me every time,1434,70,2023-04-15 16:00:47+00:00
114,elonmusk,@JimHansonDC @Grimezsz @TrungTPhan Coming,1035,73,2023-04-15 15:50:57+00:00
115,elonmusk,@Grimezsz @TrungTPhan *unreleased,1218,63,2023-04-15 15:50:44+00:00
116,elonmusk,@Grimezsz @TrungTPhan Try enabling subscriptions and posting unrelated songs &amp; music videos for fans,2171,100,2023-04-15 15:46:07+00:00
117,elonmusk,@esa @esascience @ESA_JUICE 👏 👏,5358,322,2023-04-15 06:27:18+00:00
118,elonmusk,@ShitpostGate 🔥🔥,33546,1334,2023-04-15 06:13:43+00:00
119,elonmusk,@NathanLands You should consider enabling subscriptions for your account,1068,66,2023-04-15 06:10:00+00:00
120,elonmusk,@nathanbaugh27 Good book @StephenKing,10806,535,2023-04-15 06:06:40+00:00
121,elonmusk,@dogeofficialceo 🤣,50078,1399,2023-04-15 05:18:13+00:00
122,elonmusk,@WallStreetSilv True. That is happening in schools today.,96760,9823,2023-04-15 05:16:34+00:00
123,elonmusk,@fchollet Imagine how this makes FOMO Capital (the VC firm) feel!,5310,387,2023-04-15 04:56:17+00:00
124,elonmusk,"@alx That is *actually* what they did. Going forward, this platform will be fair &amp; transparent.",210083,23365,2023-04-15 04:53:33+00:00
125,elonmusk,@EndWokeness Odd for period pieces,76574,3492,2023-04-15 04:45:45+00:00
126,elonmusk,@MrAndyNgo @FloridaState Wow!,31187,2092,2023-04-15 04:41:35+00:00
127,elonmusk,"@SmokeAwayyy With booster ultimately flying up to ~20 times per day &amp; ship flying up to ~5 times per day. 

Useful load to Mars is ~150 metric tons, but requires ~5 orbital refilling tanker flights.

Target: &gt;1 megaton of cargo &amp; people delivered to Mars, so that it becomes self-sustaining.",29210,2900,2023-04-15 04:35:06+00:00
128,elonmusk,"@dvorahfr You should sign up for subscriptions, then, for example, post low res images free and high res for subscribers or whatever you want",1755,128,2023-04-15 04:24:40+00:00
129,elonmusk,@teslaownersSV There is massive uncertainty with a new launch. We don’t know exactly when it will fly.,4412,321,2023-04-15 02:08:37+00:00
130,elonmusk,@teslaownersSV jk,3036,134,2023-04-15 01:55:47+00:00
131,elonmusk,@westcoastbill 😂,47905,2181,2023-04-15 01:44:37+00:00
132,elonmusk,@cb_doge Anyone who thinks this risk is 0% is an idiot,161525,12425,2023-04-15 01:43:19+00:00
133,elonmusk,@alx @nytimes I can’t tell parody from reality these days,140834,8238,2023-04-15 00:19:20+00:00
134,elonmusk,https://t.co/5LwR1HoWYl,260051,19194,2023-04-15 00:06:27+00:00
135,elonmusk,@Jason 💯,6541,319,2023-04-15 00:01:43+00:00
136,elonmusk,@teslaownersSV I have a feeling it might get delayed 3 days …,35123,2018,2023-04-15 00:01:32+00:00
137,elonmusk,"Success maybe, excitement guaranteed! https://t.co/LoDrBmHkQa",167134,15998,2023-04-14 23:46:49+00:00
138,elonmusk,@BillyM2k Lot of ways for AI to go wrong,15101,1157,2023-04-14 23:44:29+00:00
139,elonmusk,@ylecun Speak for yourself,18532,1016,2023-04-14 23:42:42+00:00
140,elonmusk,"@TitterDaily Am doing interviews across the political spectrum.

BBC’s SF division is “left wing”, as evidenced by the questions he asked. 

Tucker is “right wing”. 

Next week, I will do interviews with moderate &amp; slightly left media.",108412,10311,2023-04-14 21:57:56+00:00
141,elonmusk,@anothercohen 🤣🤣,9890,472,2023-04-14 21:38:28+00:00
142,elonmusk,@alifarhat79 @jimcramer 🤣,3783,125,2023-04-14 20:46:22+00:00
143,elonmusk,"@zerohedge The New York Times has fallen so far it’s tragic. Now, they don’t even have a verified check. 😢",126702,13659,2023-04-14 20:45:26+00:00
144,elonmusk,@dvorahfr Let’s have an AI-designed fashion show irl,20927,1400,2023-04-14 20:25:26+00:00
145,elonmusk,@Fun_Viral_Vids Lol,23663,815,2023-04-14 19:39:18+00:00
146,elonmusk,@ggreenwald @michaelcrowley All the news that’s fit for … I forgot the last part,23088,2081,2023-04-14 19:30:33+00:00
147,elonmusk,@SmokeAwayyy 😬,4896,273,2023-04-14 19:09:04+00:00
148,elonmusk,@EndWokeness That’s messed up,107988,7224,2023-04-14 19:08:06+00:00
149,elonmusk,@all_in_tok @SFGovTV @theallinpod @DavidSacks @Jason Exactly. Take a walk through downtown around Twitter HQ. Outrageous that city officials would claim that it is not dangerous!,40580,5544,2023-04-14 19:06:33+00:00
150,elonmusk,@CzechArtGirl 🤣,7346,284,2023-04-14 19:02:39+00:00
151,elonmusk,@TheBabylonBee 🤣,24706,945,2023-04-14 18:34:42+00:00
152,elonmusk,@CollinRugg The American public certainly needs to understand and our elected representatives must consent to our involvement,132220,18635,2023-04-14 18:32:51+00:00
153,elonmusk,@farzyness True,13324,672,2023-04-14 18:20:54+00:00
154,elonmusk,@TrungTPhan You content is great. How many subscribers do you have?,20203,822,2023-04-14 18:20:27+00:00
155,elonmusk,@neurosp1ke Hypocrisy,5963,394,2023-04-14 18:19:46+00:00
156,elonmusk,@WallStreetSilv Tough job,35050,1451,2023-04-14 18:09:14+00:00
157,elonmusk,@RepJeffries Legislators doing nada is often way better than the alternative,111229,9108,2023-04-14 18:04:51+00:00
158,elonmusk,@LibertyCappy Plastic straws are fine https://t.co/KJi1oXIHbr,186625,12745,2023-04-14 18:00:51+00:00
159,elonmusk,@CzechArtGirl Wow,10833,448,2023-04-14 17:54:16+00:00
160,elonmusk,@TRHLofficial Haha,12577,481,2023-04-14 17:47:56+00:00
